# Legend:
# - Chord | Size | Position | Tempo

# Intro
1 0 19 4
2 0 1 2
* 7 2
1 0 1 2
2 0 1 2

0 0 1 2
1 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
2 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
2 0 0 1
3 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
1 0 0 1
2 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
1 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
2 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

0 0 1 1
3 0 0 1
* 7 1
0 0 1 2
1 0 1 2
1 0 1 1
2 0 1 2
2 0 2 2
3 0 1 2

# Intro Brigde
1 0 1 1
2 0 0 2
* 5 1
0 0 1 2

2 0 1 2
3 0 1 2

1 0 1 2
2 0 0 2
* 5 1
0 0 1 2

2 0 1 2
3 0 1 2

1 0 1 2
2 0 0 2

0 0 1 4
* 23 1
0 0 1 2

* 4 4
3 0 1 2
2 0 1 8
1 0 1 8
0 0 1 8

# Chorus
0 0 1 1
1 0 0 1
1 0 2 1
2 0 1 2
1 0 1 1
2 0 1 2
0 0 2 1
2 0 1 2
3 0 1 4
2 0 1 4
0 0 1 2

* 3 20
0 0 1 2
1 0 0 1
1 0 2 1
2 0 1 2
1 0 1 1
2 0 1 2
1 0 2 1
2 0 0 1
3 0 0 1
0 0 2 1
1 0 0 1
1 0 2 1
2 0 1 2
1 0 1 1
2 0 1 2
0 0 2 1
2 0 1 2
3 0 1 4
2 0 1 4
0 0 1 2
